	 y	y_no_noise 	y_oc 	 
0.655207 0.650052 0.586497
0.116025 0.0710532 -0.0106668
0.0228521 0.0245545 0.139685
0.378903 0.528751 0.531339
-0.10173 0.0170936 0.127385
0.111005 0.00134126 0.0923257
0.302233 0.337661 0.42651
-0.111303 -0.0415713 -0.0925404
0.0421248 0.0707408 -0.0109719
-0.139923 0.00466987 0.102448
0.409945 0.502975 0.518661
0.263384 0.0999825 0.035228
0.0332411 0.0914993 0.0495196
0.109655 0.0256757 0.0754167
-0.0180402 0.0568898 0.18503
0.0645152 0.0797841 -0.0016549
0.326679 0.289633 0.395138
-0.0250098 0.0698127 0.060029
0.699508 0.64514 0.584391
0.620274 0.744599 0.625268
-0.202627 0.028883 0.146379
0.454971 0.318366 0.414214
-0.162961 -0.240307 -0.192592
-0.152642 -0.0989383 -0.124833
0.140306 0.0886888 0.00900323
-0.522141 -0.325933 -0.22828
-0.032362 0.00644259 0.1067
-0.0977575 -0.0432759 -0.0935573
0.0389573 0.0518366 0.0663056
-0.111094 0.0175275 0.128134
0.16087 0.0980393 0.0249747
0.915455 0.912273 0.687176
0.000105664 -0.0283457 -0.0845074
0.400235 0.478012 0.506009
-0.0192631 0.0203244 0.0773801
0.367357 0.274719 0.384844
-0.1095 -0.0500543 -0.0975623
0.175897 0.0941083 0.0473397
0.567305 0.45533 0.494172
0.204457 0.0720599 0.059185
-0.128523 -0.0859274 -0.117825
-0.108394 -0.137745 -0.144832
0.706279 0.657554 0.589695
-0.217493 -0.305626 -0.220099
-0.00620338 0.00387068 0.100361
0.0127251 0.0029698 0.0978208
0.114835 -0.0312042 -0.0862657
0.069842 0.0485404 0.0674263
0.0691215 -0.0407916 -0.0920738
0.0466638 -0.0356632 -0.0889838
0.416145 0.377955 0.450996
0.0702036 0.00828584 0.110744
0.703194 0.706133 0.609881
0.308068 0.209121 0.335815
0.623896 0.663308 0.592132
0.48122 0.508879 0.521599
-0.0739975 -0.0394664 -0.0912789
0.0555344 0.0426192 0.0694489
0.102148 0.0990998 0.0399421
0.0974179 0.0967885 0.0220436
0.0393129 0.276193 0.385874
0.088296 0.0753656 -0.00634281
-0.00733951 0.0865006 0.0527212
-0.31276 -0.302135 -0.218675
0.205676 0.0102482 0.114764
0.531926 0.384739 0.454973
-0.343858 -0.235058 -0.190295
0.167938 0.0788715 -0.00264805
-0.200134 -0.0997013 -0.125239
0.046459 0.0700878 0.059927
0.181258 0.0989671 0.0403105
0.121532 0.0133593 -0.057183
0.240945 0.164161 0.297886
0.977951 0.963578 0.704696
0.26126 0.237252 0.35765
-0.176889 -0.0963333 -0.123443
-0.203882 -0.18919 -0.169593
0.236262 0.099768 0.0373055
0.146291 0.0969726 0.0224409
0.893647 0.80662 0.649082
0.0471127 0.0764081 -0.00526269
0.644122 0.461778 0.497572
-0.0527276 0.0093767 0.113009
0.157427 0.0580607 0.186518
0.856701 0.892789 0.680364
0.120247 0.0399004 -0.0376011
-0.373438 -0.366866 -0.244303
0.0948203 -0.0443406 -0.0941905
0.0137396 0.0929406 0.0483786
0.00462539 0.0590356 0.18775
-0.000660817 0.123346 0.259444
-0.0623557 -0.0376035 -0.0901573
0.0823398 0.0141788 0.122219
0.615364 0.598178 0.563744
0.0563292 0.0225494 0.136486
0.03322 0.0954061 0.0193066
0.37935 0.246134 0.36428
0.515553 0.388763 0.457313
-0.385233 -0.210918 -0.179546
0.476254 0.374361 0.448873
